audio,transcript_Tamil,transcript_English,transcript_Hindi
wav_clips/common_voice_ta_37342302.wav,அதன்படி மறுநாள் காலை சென்னைக்கு வந்து சேர்ந்தோம்.,Accordingly we arrived in Chennai the next morning.,तदनुसार हम अगली सुबह चेन्नई पहुंचे।
wav_clips/common_voice_ta_37311038.wav,அவனை எரிக்கும் அதே நெருப்பு என்னையும் எரிக்கட்டும் என்று விம்மி விம்மி அழுது அலுத்துக்கூறினான்.,"Wimmy Wimmy cried and said, ""Let me burn the same fire that burns him.""","विम्मी विम्मी ने रोते हुए कहा, ""मुझे वही आग जलाने दो जो उसे जला देती है।"""
wav_clips/common_voice_ta_37311039.wav,கீழே விழுந்துவிடாமல் தம்மை அடிக்கடி தூக்கி நிறுத்திக் கொண்ட மனிதசாதி கெட்டதைப் போல செடிகள் உலகம் கெடவில்லை.,The world is not as bad as the humanitarian evil that has often stopped himself without falling down.,दुनिया उतनी बुरी नहीं है जितनी कि मानवीय बुराई है जिसने अक्सर नीचे गिरे बिना खुद को रोक दिया है।
wav_clips/common_voice_ta_37311133.wav,இங்ஙனம் செயற்படுத்த இயலாவண்ணம் நிற்போருக்கு யார் துணை?,Who is the companion of the people who are unable to carry out this?,उन लोगों का साथी कौन है जो इसे करने में असमर्थ हैं?
wav_clips/common_voice_ta_37318886.wav,காரைத்தான் அப்பா காலையிலே எடுத்துக் கொண்டு போவதாகச் சொன்னாரே என்பது அப்பொழுது தான் நினைவுக்கு வந்தது.,It was only then that I remembered that the car was taken in the morning.,यह तभी था जब मुझे याद आया कि कार सुबह ली गई थी।
wav_clips/common_voice_ta_37324163.wav,"கடைசியாகச் சிரித்துக் கொண்டே, போதும் போதும்!","Lastly smiling, enough!","अंत में मुस्कुराते हुए, पर्याप्त!"
wav_clips/common_voice_ta_37324263.wav,"திரும்பி அங்கே வந்த பின்பு, விரிசிகை மூலமாக எல்லாவற்றையும் அறிந்து கொண்டேன்.","After returning there, I learned everything through the witchcraft.","वहां लौटने के बाद, मैंने जादू टोना के माध्यम से सब कुछ सीखा।"
wav_clips/common_voice_ta_37324408.wav,இந்த நாராயண ஸ்மரணையைத் தவிர வேறு ஒலியையே கேட்கமுடியாது.,It is impossible to hear the sound other than this Narayana.,इस नारायण के अलावा अन्य ध्वनि सुनना असंभव है।
wav_clips/common_voice_ta_37327457.wav,மற்றொரு மந்திரம் என்ன? என்று கேட்டனர்.,What is another magic? They asked.,एक और जादू क्या है? उन्होंने पूछा।
wav_clips/common_voice_ta_37342677.wav,பனூ நலீர் கூட்டத்தார் இரண்டாவது தடவையும் பெருமானார் அவர்களுக்கு ஒரு தூது அனுப்பினார்கள்.,The Banu Nalir crowd sent them a message for the second time.,बानू नलिर भीड़ ने उन्हें दूसरी बार एक संदेश भेजा।
wav_clips/common_voice_ta_37358455.wav,"நாடு நலம் பெற மக்கள் நல்வாழ்வு வாழ, நாம் அனைவரும் இந்நற்றொண்டைச் செய்தாக வேண்டும்.","To live the welfare of the country, we all have to do this.","देश के कल्याण को जीने के लिए, हम सभी को यह करना होगा।"
wav_clips/common_voice_ta_37358657.wav,"மனித இனம் நல்வாழ்வு வாழ, எண்ணற்ற மனித குல மேதைகள் தங்களது சொந்த வாழ்வினையே பலியாக்கிக் கொண்டார்கள்.","To live the well -being of the human race, countless human beings sacrificed their own life.","मानव जाति की अच्छी तरह से जीने के लिए, अनगिनत मनुष्यों ने अपने जीवन का बलिदान दिया।"
wav_clips/common_voice_ta_37369341.wav,தாய்மை அடைவது பெண்ணின் உரிமை அதற்குத் தான் தடையாக இருப்பது பொருந்தாது என்றான்.,It is not applicable that the mother's right is the obstacle.,यह लागू नहीं है कि माँ का अधिकार बाधा है।
